sample_id,date,region,community,water_source,season,temperature_c,rainfall_mm,ph_level,turbidity_ntu,dissolved_oxygen_mg_l,nitrate_mg_l,coliform_count_cfu,lead_ppm,disease_cases_reported,disease_risk_score,risk_category
WQ-00001,2023-07-18,South West,Wyattborough,Borehole,Dry,29.0,29.9,5.67,14.55,6.92,25.11,80,0.009,1,16.0,Low
WQ-00002,2022-07-29,North East,New Jenniferland,River,Dry,16.5,64.4,5.78,14.51,5.14,0.88,325,0.021,1,15.8,Low
WQ-00003,2025-04-24,South West,Port Matthewville,Lake,Dry,24.8,36.3,6.28,19.58,6.94,8.64,27,0.024,1,14.1,Low
WQ-00004,2022-07-11,South East,Davisburgh,Borehole,Dry,26.1,44.4,7.25,3.68,4.51,16.97,238,0.037,0,12.2,Low
WQ-00005,2025-02-23,North East,West Kenneth,River,Dry,23.0,6.9,6.45,20.46,7.02,2.63,188,0.015,0,12.5,Low
WQ-00006,2023-03-28,North East,Erinport,Lake,Rainy,29.3,61.9,5.99,9.53,7.0,24.76,92,0.023,1,16.0,Low
WQ-00007,2022-01-14,South East,West Laura,Rainwater,Rainy,30.3,82.0,5.75,11.39,7.96,22.96,329,0.044,3,21.5,Low
WQ-00008,2023-11-28,North East,East Erikamouth,Lake,Rainy,21.3,68.1,6.74,14.86,8.72,9.82,52,0.01,5,12.6,Low
WQ-00009,2023-11-21,North West,South Staceyview,River,Dry,27.4,65.1,6.63,17.39,6.12,11.32,302,0.018,1,16.9,Low
WQ-00010,2022-07-18,North Central,Lake Margaret,Borehole,Rainy,16.4,43.1,6.59,5.58,6.26,19.04,376,0.037,3,14.9,Low
WQ-00011,2022-03-30,North West,Tonystad,Well,Rainy,19.3,32.7,7.12,8.54,5.51,15.04,207,0.02,0,11.4,Low
WQ-00012,2024-02-15,South West,New Katherineview,Tap,Dry,26.9,11.3,7.92,2.8,5.34,22.73,53,0.085,3,13.8,Low
WQ-00013,2025-07-11,North Central,Lake Richard,Rainwater,Rainy,25.0,63.3,7.12,7.97,4.17,15.69,22,0.049,3,12.8,Low
WQ-00014,2025-12-13,South South,Lake Lorraine,Well,Dry,23.9,25.7,6.57,16.45,8.07,20.26,313,0.132,1,23.7,Low
WQ-00015,2023-08-16,North Central,West Chloe,Borehole,Dry,21.2,74.5,7.63,14.38,6.88,18.46,68,0.039,2,17.2,Low
WQ-00016,2024-02-18,North Central,Port Raymondmouth,River,Dry,27.7,10.8,5.57,17.25,5.04,22.87,289,0.003,4,17.5,Low
WQ-00017,2022-11-30,North West,Lovemouth,Tap,Rainy,21.5,17.1,6.91,14.73,6.92,23.27,151,0.088,2,18.2,Low
WQ-00018,2025-10-04,North West,Andreaborough,Well,Dry,23.1,65.5,5.71,15.86,6.16,22.14,206,0.027,4,20.0,Low
WQ-00019,2025-06-01,North West,Meganberg,Lake,Dry,23.3,21.8,7.21,15.08,5.17,16.54,156,0.016,4,13.0,Low
WQ-00020,2022-12-01,South West,New Shelbyburgh,River,Dry,30.6,20.0,7.62,42.82,7.36,26.36,264,0.056,3,29.7,Low
WQ-00021,2025-08-03,South East,Lake Victoria,Tap,Rainy,25.1,35.5,4.85,14.86,5.88,15.8,42,0.017,2,16.3,Low
WQ-00022,2025-11-03,South West,Lake Justinchester,Rainwater,Dry,24.1,39.2,9.87,26.75,8.55,23.29,151,0.048,3,26.9,Low
WQ-00023,2022-03-07,North West,Karenfurt,Borehole,Dry,23.9,97.3,6.43,6.77,9.15,19.05,1,0.067,4,16.6,Low
WQ-00024,2022-05-16,North West,East Danielport,Tap,Rainy,24.1,10.0,7.53,18.2,5.11,14.4,238,0.011,1,14.3,Low
WQ-00025,2023-03-12,North East,Hammondbury,Rainwater,Rainy,33.5,8.4,6.85,8.27,6.59,38.48,198,0.066,1,17.6,Low
WQ-00026,2025-08-09,South West,South Brianmouth,Tap,Rainy,26.2,34.9,7.14,17.3,8.88,2.62,405,0.048,4,16.1,Low
WQ-00027,2022-10-13,South East,West Andrew,River,Rainy,25.1,39.0,6.29,18.8,7.04,8.07,257,0.042,3,17.2,Low
WQ-00028,2025-04-12,North East,Annamouth,Lake,Rainy,30.0,51.7,4.85,2.24,5.5,26.62,336,0.012,1,17.2,Low
WQ-00029,2024-01-12,South East,Katherinefurt,Rainwater,Rainy,27.0,63.6,7.82,9.52,6.99,13.7,161,0.054,2,16.1,Low
WQ-00030,2022-07-06,North East,East Abigailview,River,Rainy,31.8,11.0,7.75,17.03,6.48,6.03,159,0.003,2,11.4,Low
